npi,name,n_lines,mean_medicare_mult,median_medicare_mult,win_rate
1447559182,"SELECT NEUROMONITORING CONSULTANTS, PLLC",1,4.81,4.81,100.0
1598467037,"Bsisa Neuromonitoring, PLLC",1,4.81,4.81,0.0
1073054078,"ELITE NEUROMONITORING, PLLC",1,4.81,4.81,0.0
1871864611,HIGHLAND PARK EMERGENCY CENTER LLC,28,4.8,3.81,71.4
1508424169,"HERITAGE SURGICAL ASSIST ASSOCIATES, PLLC",5,4.79,4.68,80.0
1104118173,"ORTHO TRAUMA ONE, LLC",9,4.74,4.03,100.0
1972273233,"Silver Alliance, LLC",110,4.74,4.22,81.8
1528201118,"SHIVEINDRA JEYAMOHAN, MD",5,4.74,4.39,100.0
1447878749,EMER MESQUITE GUS THOMASSON PHYSICIANS PLLC,21,4.73,3.99,90.5
1275291619,"PRO IOM, LLC",1,4.73,4.73,100.0
1750032868,"CONNECTICUT ORTHOPEDICS NEURO MANAGEMENT, LLC",6,4.72,4.33,100.0
1740911213,"EMER Hulen, LLC",3,4.71,4.6,100.0
1871079301,Victoria Novak PA,2,4.7,4.12,100.0
1417615006,"Trans Oakley, LLC",64,4.68,3.99,75.0
1861731283,Dr. Curatolo,4,4.67,4.49,100.0
1659675882,SACRED HEART EMERGENCY CENTER,12,4.67,3.45,66.7
1679218622,NEUROMON PROFESSIONALS,1,4.63,4.63,100.0
1598321580,Michael Vengrow,1,4.63,4.63,0.0
1164189510,"KRISTEN PERRI, PA",1,4.62,4.62,100.0
1457027294,Next Gen Health and Wellness,4,4.61,5.02,100.0
1164485306,jian shen,3,4.59,4.51,66.7
1871815605,"Garrick Cox, MD, LLC",11,4.54,4.4,81.8
1730636168,"SOUND PHYSICIANS EMERGENCY MEDICINE OF SOUTH CAROLINA, LLC",1,4.52,4.52,100.0
1972070993,"LITTLE ROCK HOSPITAL 1, LLC",5,4.51,3.93,60.0
1538727193,"SA MONITORING, PLLC",6,4.48,4.14,66.7
1326636085,Next Generation Sports and Spine,4,4.47,4.47,50.0
1982377685,"Kaufman Neurology, PLLC",8,4.46,4.14,75.0
1114485711,Vikas Pandey,10,4.45,4.76,90.0
1932520780,"ACME MEDICAL, PLLC",7,4.43,4.26,85.7
1740391283,Wendell Bobb,11,4.42,4.46,100.0
1891737052,"HATFIELD, JASON T",1,4.42,4.42,100.0
1639872088,Vikas Pandey,1,4.41,4.41,100.0
1578809349,"CAPITOL NEURODIAGNOSTICS, PLLC",4,4.41,4.41,100.0
1255428736,Mem Hospital,1,4.4,4.4,0.0
1952543696,"ZAKARIA HAKMA, MD",1,4.4,4.4,100.0
1508134743,Dante Leven DO,12,4.38,4.0,100.0
1962854232,Affinity Surgical Associates LLC,4,4.38,3.21,0.0
1205597473,"Kevin Louie, DO",3,4.38,3.9,100.0
1194342667,Alexandra Fitts,2,4.37,4.2,100.0
1447801444,"CHRISTOPHER WATTS, PA",3,4.36,3.87,66.7
1649768698,Jeremy Jones MD,1,4.36,4.36,100.0
1891869475,Garden State Pain Control,3,4.35,3.88,100.0
1679733711,"ZACHARIAH GEORGE,MD",2,4.34,3.92,50.0
1952613622,"Ross Cooperman, MD",2,4.34,3.25,100.0
1801176656,Advanced Orthopaedic and Neurosurgery NSA,2,4.31,4.09,100.0
1730106436,"Jason Arora, DO",3,4.31,4.32,100.0
1811648959,"INEUROLOGY, PC",1,4.29,4.29,100.0
1346871217,NW INDIANA EP,1,4.29,4.29,100.0
1548464332,"AMIT GUPTA, MD",1,4.28,4.28,0.0
1730773219,COLORADO NEUROLOGICAL PLLC,3,4.27,4.0,33.3
1891808168,"NJ Surgassist, LLC",5,4.26,4.4,80.0
1376141556,RAPIDCARE EMERGENCY ROOM KATY-MASON LLC,1,4.26,4.26,100.0
1437634524,Baptist Memorial Hospital Crittenden,1,4.23,4.23,100.0
1306679378,PROCARE HIGHLAND PARK ER LLC,6,4.23,3.66,83.3
1467918938,"EMERGENCY MEDICINE SPECIALISTS, INC.",11,4.22,3.81,81.8
1295180651,"FRONTLINE WHITE ROCK MEDICAL CENTER, LLC",3,4.21,3.64,100.0
1225098866,Saam Miller MD,1,4.21,4.21,100.0
1518264449,Daniel Shein MD,2,4.21,3.5,100.0
1629072541,"JAMES DWYER, MD",2,4.21,3.23,100.0
1609271295,Oasis Medical & Surgical Wellness Group,1,4.2,4.2,100.0
1316128937,Karim Paracha MD,5,4.2,3.35,100.0
1689972804,"SARAH B EVANS, CRNA",1,4.18,4.18,100.0
1770214256,"EMER Addison, LLC",5,4.17,4.33,100.0
1134846793,"North Texas IOM, PLLC",2,4.16,3.9,100.0
1932645132,"JUSTIN SZPILKA, PA",1,4.16,4.16,0.0
